,Photo ID #,Date,Title,Keywords
1,7965,2015-09-21,Slaughtering an Apostate Afghan Spy,"Execution,Beheading"
2,8548,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,Media Footage
3,8549,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
4,8550,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
5,8551,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
6,8552,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
7,8553,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
8,8554,2015-10-20,Graduation of First Batch of IS Fighters from Khurasan,"Training,Training Camp"
9,8763,2015-10-28,An Afghan Soldier Captured in the Area of Aadl Khayl,
10,8764,2015-10-28,An Afghan Soldier Captured in the Area of Aadl Khayl,
11,9096,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Media Footage
12,9097,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
13,9098,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
14,9099,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
15,9100,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
16,9101,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
17,9497,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",Media Footage
18,9498,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
19,9499,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
20,9500,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
21,9501,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
22,9511,2016-01-16,The two Inghimashi brothers who attacked on the Pakistani consulate in Jalalabad,
23,9750,2016-03-05,Spring in the Asheen Area of Nangarhar,
24,9751,2016-03-05,Spring in the Asheen Area of Nangarhar,
25,9752,2016-03-05,Spring in the Asheen Area of Nangarhar,
26,10027,2016-03-30,Islamic State Educational Institution,
27,10028,2016-03-30,Islamic State Educational Institution,
28,10029,2016-03-30,Islamic State Educational Institution,
29,10056,2016-04-01,US Reconnaissance Plane Fell in Mamend Area,
30,9099,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
31,9100,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
32,9101,2015-11-19,Graduation of New Batch From the Training Camp Sheikh Jalaluddin,Training Camp
33,9497,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",Media Footage
34,9498,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
35,9499,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
36,9500,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
37,9501,2016-12-03,"Destroying a Narcotic Plant Field in Achin District, Nangarhar",
38,9511,2016-01-16,The two Inghimashi brothers who attacked on the Pakistani consulate in Jalalabad,
39,9750,2016-03-05,Spring in the Asheen Area of Nangarhar,
40,9751,2016-03-05,Spring in the Asheen Area of Nangarhar,
41,9752,2016-03-05,Spring in the Asheen Area of Nangarhar,
42,10027,2016-03-30,Islamic State Educational Institution,
43,10028,2016-03-30,Islamic State Educational Institution,
44,10029,2016-03-30,Islamic State Educational Institution,
45,10056,2016-04-01,US Reconnaissance Plane Fell in Mamend Area,
46,10057,2016-04-01,US Reconnaissance Plane Fell in Mamend Area,
47,10442,2016-05-18,The spoils after attack on the Taliban between zone and Karkuni kurdi has Nangarhar,Captured Weapons
48,10443,2016-05-18,The spoils after attack on the Taliban between zone and Karkuni kurdi has Nangarhar,"Captured Weapons,RPG"
49,10444,2016-05-18,The spoils after attack on the Taliban between zone and Karkuni kurdi has Nangarhar,"Captured Weapons,Mortar,Grenade"
50,10445,2016-05-18,"Liquidation fo a Spy of the Taliban Movement in Kot, Nangarhar",Hostage Photo
51,10446,2016-05-18,"Liquidation fo a Spy of the Taliban Movement in Kot, Nangarhar","Execution,Shooting,Hostage Photo"
52,10447,2016-05-18,"Liquidation fo a Spy of the Taliban Movement in Kot, Nangarhar",
53,10449,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
54,10450,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
55,10451,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
56,10452,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
57,10453,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
58,10564,2016-06-09,Distributing Ramadan leaflets to the Mujahideen,
59,10565,2016-06-09,Distributing Ramadan leaflets to the Mujahideen,
60,10566,2016-06-09,Distributing Ramadan leaflets to the Mujahideen,
61,10589,2016-06-16,Islamic State (IS) - Wilayat Khorosan,
62,10590,2016-06-16,Islamic State (IS) - Wilayat Khorosan,
63,10591,2016-06-16,Islamic State (IS) - Wilayat Khorosan,
64,10592,2016-06-16,Islamic State (IS) - Wilayat Khorosan,
65,10645,2016-06-29,confrontations between soldiers and renegade Afghan army in the area of ​​Côte Nangarhar,Recoilless Rifle
66,10446,2016-05-18,"Liquidation fo a Spy of the Taliban Movement in Kot, Nangarhar","Execution,Shooting,Hostage Photo"
67,10447,2016-05-18,"Liquidation fo a Spy of the Taliban Movement in Kot, Nangarhar",
68,10449,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
69,10450,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
70,10451,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
71,10452,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
72,10453,2016-05-19,"Koran Memorization for Children in Kot, Nangarhar",
73,10564,2016-06-09,Distributing Ramadan leaflets to the Mujahideen,
74,10565,2016-06-09,Distributing Ramadan leaflets to the Mujahideen,
